week_start,week_end,keyword,channel,channel_id,matched_videos,views,likeCount,commentCount,subscribers,channel_video_count,engagement
2025-08-28,2025-09-03,bibigo,BapTable,UCEMyR74xrPr81bkJluQg_Lg,3,1660,5,0,50,76,5
2025-08-28,2025-09-03,bibigo,Chebae RN,UCl0xxkka2TpCFszfgImbkIw,1,1829,10,0,2450,472,10
2025-08-28,2025-09-03,bibigo,Cherry Lady Style,UC-HYJB7Uxc180pMxyGl3VQA,1,798,4,0,654,621,4
2025-08-28,2025-09-03,bibigo,CookieMoments 쿠키모먼츠 ,UCuxqG9L5FKZG9vnmyA3kBdw,1,438,2,0,24,14,2
2025-08-28,2025-09-03,bibigo,Eva 娃娃,UCr-8WtEnu3j6_JnpN69womA,1,939,9,0,32,51,9
2025-08-28,2025-09-03,bibigo,Fun Everyday Life,UCfM3m7VdmE2siTSvHOAMo7A,1,2,0,0,3080,661,0
2025-08-28,2025-09-03,bibigo,Good luck,UCSbIH2t6M-n0PFU8pe5qqHQ,1,293,0,0,54,159,0
2025-08-28,2025-09-03,bibigo,Nicole Hoang,UCWuTewvUFfdf8m-FqMu9tWQ,2,11,0,0,385,1884,0
2025-08-28,2025-09-03,bibigo,No Menu Cooking,UCUSZ6F5OJq2VJtyksNS-DmA,1,1848,13,2,5150,230,15
2025-08-28,2025-09-03,bibigo,Ordinary Cooking,UCFi3Go-kT6TK4PLVbKpRNCg,1,1961,17,0,3570,82,17
2025-08-28,2025-09-03,bibigo,Piggy & DIY,UCth5v4N3f1kw0fDZaO5lujA,1,236,6,0,1930,130,6
2025-08-28,2025-09-03,bibigo,ProHyperSpace02,UC9UqFR9jD4tR7NgyjzLuJcA,2,9,1,0,1190,2229,1
2025-08-28,2025-09-03,bibigo,Rayan Beauty Secret,UCAvbWrhrOZ0dXs23V1ya8DQ,1,2186,26,1,3820,1197,27
2025-08-28,2025-09-03,bibigo,Rosio Lohse02,UC6oCKhnSjMfWR9Cq3xmCk9A,1,121,0,0,1780,609,0
2025-08-28,2025-09-03,bibigo,Sale Going On Now,UC6FaLVyWbIgJ9FJPG9v_hyw,1,153,0,0,19,120,0
2025-08-28,2025-09-03,bibigo,Tela Tv,UCdhu3BkL1PegQK6joop3EIg,1,965,1,10,6230,460,11
2025-08-28,2025-09-03,bibigo,Thy’s Cozy Corner,UCuhzSYQgHTahAEQtL2wZrbQ,1,2817,15,0,36,26,15
2025-08-28,2025-09-03,bibigo,bazachi. com,UCpdwlwPn6krS1e9Vr_3np1w,1,11,1,0,519,1724,1
2025-08-28,2025-09-03,bibigo,조율킹,UCW7vjIZjPDEZ83cdDLcuPpg,2,222,11,17,75800,9958,28
2025-08-28,2025-09-03,binggrae,3C Huang,UCubp5C4Sav3fsm2n7uJTnyg,1,1846,10,0,39700,3327,10
2025-08-28,2025-09-03,binggrae,DAY6,UCp-pqXsizklX3ZHvLxXyhxw,1,8496,1741,124,2240000,838,1865
2025-08-28,2025-09-03,binggrae,Fun with Eva / Food & Travel,UCVZLleqIG8tG2uyilI73NnA,1,2604,10,0,2470,1984,10
2025-08-28,2025-09-03,binggrae,Show Me The Goods,UCMytbwdHtgYI4MdwFC4jd0w,1,52,0,0,760,512,0
2025-08-28,2025-09-03,binggrae,Strahd Creative,UCenr9jtqrU_v_UKaWAXFFSQ,4,1774,14,0,26,30,14
2025-08-28,2025-09-03,binggrae,US Mart - Siêu Thị Nhập Khẩu Chính Hãng,UCTooRbgoUPaUZfc0JWHu2tw,1,243,3,0,615,274,3
2025-08-28,2025-09-03,binggrae,Viwantstoknow,UC7PiaGY6nwrjdA9VjSStDRA,1,1238,0,0,1820,2402,0
2025-08-28,2025-09-03,binggrae,_mlsvh,UC47XE1cZYnFtfVr6AqBrYDg,1,312,1,1,7,34,2
2025-08-28,2025-09-03,binggrae,fitness home workout ,UClWhNVbKUP2K8mmDciBSXbQ,1,2512,16,0,69,14,16
2025-08-28,2025-09-03,binggrae,НЕ КСЮХА И НЕ ОКСАНА,UC7d3PHuN9R09zLmywHVt2iQ,1,2106,9,0,828,232,9
2025-08-28,2025-09-03,bristol farms,Mrs. Coloma-Flores,UCdKITX1oRFMm2CcQAaWDawQ,1,23,1,0,190,68,1
2025-08-28,2025-09-03,buldak,Irene's Table,UCPnx1uHc2_cgb2BFkn8_61w,1,1948,19,0,68,66,19
2025-08-28,2025-09-03,buldak, The Lala Delulu,UCz3f1AUM2WkEieytZ52zskA,1,1371,15,2,86,61,17
2025-08-28,2025-09-03,buldak," Whispering with Haya
",UCItlZsPw1f8dwxqUSEFOJfQ,1,12,1,0,7,52,1
2025-08-28,2025-09-03,buldak, 🍳yumyumyanie,UCq8CrCFC1WHVF6b48DhIAUQ,2,3350,65,2,3,4,67
2025-08-28,2025-09-03,buldak,#BBQнабалькон,UCMofyiT09MBs5d_JqOh8W7Q,1,3933,69,0,308,108,69
2025-08-28,2025-09-03,buldak,412monim,UChPJrn7LlxzD2xnjz_xEQyg,1,1692,10,1,60,45,11
2025-08-28,2025-09-03,buldak,ACE ASMR,UC7UGmX-dvyHGv9ZuVvA9cXg,1,1667,9,0,45,12,9
2025-08-28,2025-09-03,buldak,ASMR ,UCyKVZZahmYEqcarPJVra1Ow,1,21869,165,1,32,19,166
2025-08-28,2025-09-03,buldak,ASMR Eating Bliss,UC7ZuXQAQZnA_eEpIn286ggg,1,18452,831,4,55000,1549,835
2025-08-28,2025-09-03,buldak,Aaron Yarbrough,UCVLWtYLZKAdcInt3xXw4oVA,1,105443,8125,83,216000,140,8208
2025-08-28,2025-09-03,buldak,Alice Wallberg,UCYR2FphL88YyyxxeRGQzXxg,1,89902,4068,40,8980,240,4108
2025-08-28,2025-09-03,buldak,Alina Atharv Lama,UCz-CeKBcfAGfHV7H3vfcUBQ,1,1737,12,2,145,98,14
2025-08-28,2025-09-03,buldak,Alivia Donai ,UCFLrwzF6qPrj3J3G5c9bmmA,1,844476,34053,348,890000,180,34401
2025-08-28,2025-09-03,buldak,Ammey,UCr9NlkbqicftwKar1ksHQ8w,1,39116,2008,21,74000,333,2029
2025-08-28,2025-09-03,buldak,Angel King,UCMa7bNkh8MDD5aVBJvO1Bng,1,845,13,2,284,59,15
2025-08-28,2025-09-03,buldak,Anisha Bhati,UCu19AVoA8BFtzJ9AxAEBacQ,1,1559,49,1,52200,219,50
2025-08-28,2025-09-03,buldak,Anne Barbs,UCNXoIQ7nW2lXud5yuoM9Zmg,1,3543,24,1,1560,331,25
2025-08-28,2025-09-03,buldak,Anne farah قناة فرح,UCOm7PV6wi1525MhIu-Y4qxw,2,10728,94,7,45200,1790,101
2025-08-28,2025-09-03,buldak,Anu Delicious Food,UC8ug6At1JcNrWkmplaU2B3A,1,1862,22,0,2040,902,22
2025-08-28,2025-09-03,buldak,Anxiety Doll,UCrfazZkwgZlGisUMXoXs0pg,2,44168,146,38,10700,533,184
2025-08-28,2025-09-03,buldak,Any Foodie,UC7_t9AmSSI0mcgAD0oRh8sA,1,1628,2,0,7810,156,2
2025-08-28,2025-09-03,buldak,Aseel,UCrVhWgmocxMreV2Y6MF6VLA,1,25624,255,11,123,11,266
2025-08-28,2025-09-03,buldak,Asia Yum,UC8oIaMA7KvWpdOpioU_iP-Q,1,1326,10,0,70,48,10
2025-08-28,2025-09-03,buldak,Asmita Rai,UCK5elYiPzRSQB0K_Q1OgqQQ,1,8853,142,1,363,132,143
2025-08-28,2025-09-03,buldak,Aso’s Moments,UCeWS57K_oVLn0zE9KXUl8dg,1,4547,83,1,20,9,84
2025-08-28,2025-09-03,buldak,Athena,UCw7ZoQXB2p8Gn2LHQ9nuz9w,1,1342,14,1,14,4,15
2025-08-28,2025-09-03,buldak,Azkoolkidz,UCMx0_el515-L4OKyArk_uhQ,1,2095,8,0,33,39,8
2025-08-28,2025-09-03,buldak,BARBIETUBE,UCemsGDn468BOmrf5NojkZsQ,1,3475,0,3,308,76,3
2025-08-28,2025-09-03,buldak,Bachelor's Couple,UC148Kot_67PPAgYw25j3ehA,1,10375,70,0,302,172,70
2025-08-28,2025-09-03,buldak,Barabanych_zanos,UCQhPZ2PQgRdYdTbmgCwuabw,1,696,2,0,35,66,2
2025-08-28,2025-09-03,buldak,Bella the snow,UCg_68cfqcyYrqphbchqk_Xw,1,49,0,3,20,102,3
2025-08-28,2025-09-03,buldak,Bhat Aisha ,UCj_0SBthC8quM0nYr_PjQvw,1,4486,189,28,5200,662,217
2025-08-28,2025-09-03,buldak,BiancaMukbangs,UC2p8FwnrQlJldadhz0oXgBw,1,4942,150,2,1020,140,152
