keyword,date,video_mentions,top_channels
beksul,2025-08-28,0,
beksul,2025-08-29,0,
beksul,2025-08-30,0,
beksul,2025-08-31,0,
beksul,2025-09-01,0,
beksul,2025-09-02,0,
beksul,2025-09-03,0,
bibigo,2025-08-28,6,No Menu Cooking;ProHyperSpace02;Ordinary Cooking
bibigo,2025-08-29,4,Rosio Lohse02;BapTable;Thy’s Cozy Corner
bibigo,2025-08-30,2,bazachi. com;Sale Going On Now
bibigo,2025-08-31,1,Eva 娃娃
bibigo,2025-09-01,4,조율킹;Rayan Beauty Secret;Tela Tv
bibigo,2025-09-02,4,Fun Everyday Life;Piggy & DIY;Cherry Lady Style
bibigo,2025-09-03,0,
binggrae,2025-08-28,3,Strahd Creative
binggrae,2025-08-29,1,Strahd Creative
binggrae,2025-08-30,2,3C Huang;US Mart - Siêu Thị Nhập Khẩu Chính Hãng
binggrae,2025-08-31,3,Fun with Eva / Food & Travel;fitness home workout ;_mlsvh
binggrae,2025-09-01,2,Viwantstoknow;НЕ КСЮХА И НЕ ОКСАНА
binggrae,2025-09-02,0,
binggrae,2025-09-03,1,DAY6
bristol farms,2025-08-28,0,
bristol farms,2025-08-29,0,
bristol farms,2025-08-30,0,
bristol farms,2025-08-31,0,
bristol farms,2025-09-01,1,Mrs. Coloma-Flores
bristol farms,2025-09-02,0,
bristol farms,2025-09-03,0,
buldak,2025-08-28,106,Tina Mini Cooking;Alivia Donai ;cocoeatz
buldak,2025-08-29,116,Kim&Liz Too;Ladymysterie;irene kim 김예린
buldak,2025-08-30,62,QUEEN BEAST;Sherpa Family;kelseylovespho
buldak,2025-08-31,34,Stoney Choi;aimschia;Saralein
buldak,2025-09-01,63,Fahmimi ASMR;UNAU MUKBANG CHANNEL;Aaron Yarbrough
buldak,2025-09-02,36,Gokeekeego & GOGOtv;Jeck Design;Curious2Know
buldak,2025-09-03,4,Buldak Official;OhMyMisty;Hieuasmr 
chamisul,2025-08-28,0,
chamisul,2025-08-29,1,수이트 Suite 
chamisul,2025-08-30,0,
chamisul,2025-08-31,0,
chamisul,2025-09-01,1,Blueming05
chamisul,2025-09-02,0,
chamisul,2025-09-03,0,
chapagetti,2025-08-28,2,주안상 Liquor Table (Bites & Booze);Cixi
chapagetti,2025-08-29,2,인덕원아재;Chris Tran
chapagetti,2025-08-30,3,은지힝;the Polaris of the Desert;TEEBeats
chapagetti,2025-08-31,3,Life In Korea;AnnuSujan🖤;Dot man’s child
chapagetti,2025-09-01,2,คุ้มค่าทุกการใช้จ่ายผ่านร้านค้าออนไลน์;맛즐 ; JOYFUL FOOD
chapagetti,2025-09-02,2,우리들만의리그;Radhika Mathur
chapagetti,2025-09-03,0,
chilsung,2025-08-28,0,
chilsung,2025-08-29,0,
chilsung,2025-08-30,0,
chilsung,2025-08-31,0,
chilsung,2025-09-01,0,
chilsung,2025-09-02,0,
chilsung,2025-09-03,0,
chum churum,2025-08-28,0,
chum churum,2025-08-29,0,
chum churum,2025-08-30,0,
chum churum,2025-08-31,0,
chum churum,2025-09-01,0,
chum churum,2025-09-02,0,
chum churum,2025-09-03,0,
chung jung one,2025-08-28,0,
chung jung one,2025-08-29,0,
chung jung one,2025-08-30,0,
chung jung one,2025-08-31,0,
chung jung one,2025-09-01,0,
chung jung one,2025-09-02,0,
chung jung one,2025-09-03,0,
daesang,2025-08-28,9,𝓢𝓽𝓮𝓵𝓵𝓪_𝓽𝓮𝓮𝔃;@rzh.t;shiberminnn
daesang,2025-08-29,0,
daesang,2025-08-30,2,S-DRAGON;Noodle&Cat
daesang,2025-08-31,0,
daesang,2025-09-01,3,Cantik Shalzabillah;S-DRAGON;michellato
daesang,2025-09-02,1,S-DRAGON
daesang,2025-09-03,0,
dongwon tuna,2025-08-28,0,
dongwon tuna,2025-08-29,0,
dongwon tuna,2025-08-30,0,
dongwon tuna,2025-08-31,1,동원F&B(Dongwon)
dongwon tuna,2025-09-01,0,
dongwon tuna,2025-09-02,1,Global Pulse
dongwon tuna,2025-09-03,0,
emart,2025-08-28,7,E-MART;TM TIME GOD FF;Nhà đẹp Nguyễn Cường - Bán nhà Gò Vấp - Tp HCM
emart,2025-08-29,8,MOSESJAU;E-MART;Arte Light Studios
emart,2025-08-30,11,Bán nhà Gò Vấp | Hoài Trinh bđs;Islami Emart TV;E-MART
emart,2025-08-31,7,Ike Wahyuningsih;Rishu Sharma;RANGS eMART
emart,2025-09-01,10,따라잡아경제;Jeniffer Pilo;Md Galib
emart,2025-09-02,10,Thanh Vân Long An 34;따라잡아경제;Miri City Sharing Channel
emart,2025-09-03,0,
haitai ice,2025-08-28,0,
haitai ice,2025-08-29,0,
