week_start,keyword,week_end,weekly_video_mentions,weekly_api_hits,weekly_views,weekly_likes,weekly_comments
2025-08-01,bibigo,2025-08-07,27.0,37,117632.0,5204.0,198.0
2025-08-01,buldak,2025-08-07,470.0,481,33175797.0,737741.0,7469.0
2025-08-01,chamisul,2025-08-07,1.0,7,14.0,0.0,0.0
2025-08-01,chum churum,2025-08-07,2.0,2,450.0,7.0,0.0
2025-08-01,jin ramen,2025-08-07,50.0,256,163462.0,2099.0,127.0
2025-08-01,nongshim,2025-08-07,89.0,126,3534862.0,18791.0,309.0
2025-08-01,pulmuone,2025-08-07,3.0,7,1699.0,9.0,2.0
2025-08-01,samyang,2025-08-07,329.0,430,4862928.0,94415.0,3305.0
2025-08-01,shin ramen,2025-08-07,46.0,292,438152.0,6049.0,1031.0
2025-08-01,shin ramyun,2025-08-07,87.0,273,637082.0,12964.0,919.0
2025-08-08,bibigo,2025-08-14,26.0,37,577304.0,1179.0,30.0
2025-08-08,buldak,2025-08-14,326.0,331,37781952.0,1250271.0,18181.0
2025-08-08,chamisul,2025-08-14,1.0,3,1589.0,40.0,3.0
2025-08-08,chum churum,2025-08-14,3.0,3,161.0,7.0,6.0
2025-08-08,jin ramen,2025-08-14,43.0,201,120102.0,4657.0,94.0
2025-08-08,nongshim,2025-08-14,77.0,100,2753784.0,21846.0,388.0
2025-08-08,pulmuone,2025-08-14,0.0,4,0.0,0.0,0.0
2025-08-08,samyang,2025-08-14,268.0,291,10193656.0,224779.0,4173.0
2025-08-08,shin ramen,2025-08-14,44.0,230,2016660.0,8562.0,284.0
2025-08-08,shin ramyun,2025-08-14,77.0,226,303096.0,8127.0,255.0
2025-08-15,bibigo,2025-08-21,21.0,35,58039.0,2065.0,52.0
2025-08-15,buldak,2025-08-21,493.0,506,12199931.0,290564.0,5708.0
2025-08-15,chamisul,2025-08-21,1.0,7,158.0,2.0,0.0
2025-08-15,chum churum,2025-08-21,0.0,0,0.0,0.0,0.0
2025-08-15,jin ramen,2025-08-21,48.0,246,125182.0,2244.0,51.0
2025-08-15,nongshim,2025-08-21,68.0,123,8272457.0,18725.0,285.0
2025-08-15,pulmuone,2025-08-21,4.0,7,16177.0,606.0,30.0
2025-08-15,samyang,2025-08-21,279.0,342,4955709.0,86785.0,2037.0
2025-08-15,shin ramen,2025-08-21,46.0,294,932373.0,10643.0,302.0
2025-08-15,shin ramyun,2025-08-21,89.0,294,1553711.0,36424.0,1455.0
2025-08-22,bibigo,2025-08-28,26.0,38,23040.0,196.0,14.0
2025-08-22,buldak,2025-08-28,485.0,505,17136181.0,443349.0,7278.0
2025-08-22,chamisul,2025-08-28,1.0,8,126.0,0.0,0.0
2025-08-22,chum churum,2025-08-28,0.0,0,0.0,0.0,0.0
2025-08-22,jin ramen,2025-08-28,29.0,220,71453.0,1101.0,44.0
2025-08-22,nongshim,2025-08-28,74.0,119,4108397.0,24705.0,920.0
2025-08-22,pulmuone,2025-08-28,0.0,3,0.0,0.0,0.0
2025-08-22,samyang,2025-08-28,313.0,380,8122394.0,110881.0,16497.0
2025-08-22,shin ramen,2025-08-28,60.0,337,2625354.0,5460.0,237.0
2025-08-22,shin ramyun,2025-08-28,92.0,334,1419921.0,37665.0,1061.0
