week_start,week_end,keyword,channel,channel_id,matched_videos,views,likeCount,commentCount,subscribers,channel_video_count,engagement
2025-08-22,2025-08-28,bibigo,Abbi Soberanis,UCJb-b6Wey5ahcYGpg9ctMIg,1,1270,12,3,216,146,15
2025-08-22,2025-08-28,bibigo,Aussie Mate,UC9L4N952X9fyoAYiWRCJxDA,1,941,8,1,22,27,9
2025-08-22,2025-08-28,bibigo,BapTable,UCEMyR74xrPr81bkJluQg_Lg,1,163,2,0,51,77,2
2025-08-22,2025-08-28,bibigo,Chebae RN,UCl0xxkka2TpCFszfgImbkIw,1,1833,10,0,2450,472,10
2025-08-22,2025-08-28,bibigo,Chuck Chews,UChV6SW9mKWZ27rSk7TNltwQ,1,21,1,3,349,421,4
2025-08-22,2025-08-28,bibigo,Crystal Slays Lives,UCg0a5e2xL4sCqCwC19s0XCQ,1,47,4,2,3260,542,6
2025-08-22,2025-08-28,bibigo,Good luck,UCSbIH2t6M-n0PFU8pe5qqHQ,1,294,0,0,54,160,0
2025-08-22,2025-08-28,bibigo,MP Models BKK,UC11jDTy-FXFZQquhHYomGjw,1,9,0,0,81,311,0
2025-08-22,2025-08-28,bibigo,Nicole Hoang,UCWuTewvUFfdf8m-FqMu9tWQ,2,11,0,0,386,1885,0
2025-08-22,2025-08-28,bibigo,No Menu Cooking,UCUSZ6F5OJq2VJtyksNS-DmA,1,1847,13,2,5150,231,15
2025-08-22,2025-08-28,bibigo,Ordinary Cooking,UCFi3Go-kT6TK4PLVbKpRNCg,1,1961,17,0,3570,82,17
2025-08-22,2025-08-28,bibigo,ProHyperSpace02,UC9UqFR9jD4tR7NgyjzLuJcA,2,10,1,0,1200,2237,1
2025-08-22,2025-08-28,bibigo,The Packshot vs Product Channel,UCWnHnjAtZGr046LjHUBihUQ,1,311,0,0,188,394,0
2025-08-22,2025-08-28,bibigo,Three Musketeers,UCjDKy7GST9dJfljR8_Z30-A,1,1682,9,0,86,51,9
2025-08-22,2025-08-28,bibigo,Vanessa Buenrostro,UCFR1S1Yt-dEEgmi3paZ1pCA,1,598,4,0,1290,42,4
2025-08-22,2025-08-28,bibigo,たーらいと〇〇,UCY0luRkct44nvjy7Zeur8Tw,1,1397,3,0,1340,495,3
2025-08-22,2025-08-28,bibigo,らわ ASMR,UCsjoTtoCN4ZznFf9UODR7hQ,1,301,13,2,77,40,15
2025-08-22,2025-08-28,bibigo,栞/shiori　つくたべくらし,UCO97wtA2mAd4jpjlDX3qz2w,1,2659,18,0,1530,91,18
2025-08-22,2025-08-28,bibigo,미식가강쌤,UCwXfwlpTP_Kwdg76JCu-pzg,1,1463,12,0,33,57,12
2025-08-22,2025-08-28,bibigo,비비고 (bibigo),UCGmLtNZFTL6PiKsz3Vpdgbw,1,335,28,0,89800,292,28
2025-08-22,2025-08-28,bibigo,제당슈만,UCOV_BpGzvmH7ZtjQOWg0bSQ,2,3819,22,0,20800,185,22
2025-08-22,2025-08-28,bibigo,채디디의 뚱딴지 ChaeDiDi Travel,UCC-zbYENoSXvL1BEUHcjqFg,1,177,1,0,107,390,1
2025-08-22,2025-08-28,bibigo,🍳egg TV,UCgXmecFN1JjjUKwWnLfvSaQ,1,1891,18,1,26,10,19
2025-08-22,2025-08-28,buldak, break shorts ,UCZZNpfclp6PjkpMhnC0OlBA,1,16,1,0,149,73,1
2025-08-22,2025-08-28,buldak, cheerycoco,UC14pKAIhD9F_CL6EiVKhmyQ,1,22,0,0,451,72,0
2025-08-22,2025-08-28,buldak, قناه يلا نجرب,UCs9Hn-qrFs7-Nc-v4_wXFyA,1,2563,37,1,302,120,38
2025-08-22,2025-08-28,buldak, ★𝙒𝙚𝙖𝙨𝙡𝙚𝙮𝙮★,UCrgMYX_Egdsk0hzTbL95DkQ,1,44,5,0,67,121,5
2025-08-22,2025-08-28,buldak,1000recettesfaciles,UC61GoZu4OPRUAn7CH3o_CsA,2,180943,5757,70,9600,403,5827
2025-08-22,2025-08-28,buldak,2ubyanais,UCE-hEyJ4pEBLbVPe83DCHmQ,1,1164,24,6,65,24,30
2025-08-22,2025-08-28,buldak,412monim,UChPJrn7LlxzD2xnjz_xEQyg,1,1693,10,1,60,46,11
2025-08-22,2025-08-28,buldak,@Bella_sweetly,UCADW2YmUmWbVp7fsbRzmGmQ,1,19,1,0,32,53,1
2025-08-22,2025-08-28,buldak,@selmasroutine6807,UC0tUEXP4DRB3j1NEREWVsIg,1,38046,1201,15,1320,41,1216
2025-08-22,2025-08-28,buldak,A.J.O.T.,UCo8pBsDhBTsOgvo0EktsOeQ,1,1070,0,2,61,24,2
