week_start,week_end,keyword,weekly_video_mentions,weekly_views,weekly_likes,weekly_comments,weekly_api_hits,top_channels_week
2025-08-22,2025-08-28,chamisul,1.0,126.0,0.0,0.0,8,DIPAK Vlog 
2025-08-22,2025-08-28,buldak,485.0,17136181.0,443349.0,7278.0,505,Kim&Liz Too;Sydney Everhart;irene kim 김예린
2025-08-22,2025-08-28,samyang,313.0,8122394.0,110881.0,16497.0,380,KeiKei;TUKANG BEDAH | PESEN MENU TERMAHAL;Adi Dharma
2025-08-22,2025-08-28,shin ramen,60.0,2625354.0,5460.0,237.0,337,KULU Eats;Angie's Table;dbest Taste
2025-08-22,2025-08-28,nongshim,74.0,4108397.0,24705.0,920.0,119,SAS-ASMR;LCK Global;Caedrel
2025-08-22,2025-08-28,shin ramyun,92.0,1419921.0,37665.0,1061.0,334,Khana Pakana Dill Seey;cheezballz;FOOD REVIEWS & MORE 
2025-08-22,2025-08-28,chum churum,0.0,0.0,0.0,0.0,0,
2025-08-22,2025-08-28,jin ramen,29.0,71453.0,1101.0,44.0,220,BlakeBlake;Jenna Laine;AnnieNorthman89
2025-08-22,2025-08-28,pulmuone,0.0,0.0,0.0,0.0,3,
2025-08-22,2025-08-28,bibigo,26.0,23040.0,196.0,14.0,38,비비고 (bibigo);No Menu Cooking;제당슈만
