week_start,week_end,keyword,weekly_video_mentions,weekly_views,weekly_likes,weekly_comments,weekly_api_hits,top_channels_week
2025-08-01,2025-08-07,bibigo,27.0,117632.0,5204.0,198.0,37,Sporked;KARA CRAIG;FOOD CRAVINGS OFFICIAL
2025-08-01,2025-08-07,buldak,470.0,33175797.0,737741.0,7469.0,481,쏘영 Ssoyoung;문복희 Eat with Boki;Kim&Liz ASMR
2025-08-01,2025-08-07,chamisul,1.0,14.0,0.0,0.0,7,Outer Paradise - Topic
2025-08-01,2025-08-07,chum churum,2.0,450.0,7.0,0.0,2,Chum Churum Official
2025-08-01,2025-08-07,jin ramen,50.0,163462.0,2099.0,127.0,256,한식클라쓰;Like Korean;BTS the 7 Star
2025-08-01,2025-08-07,nongshim,89.0,3534862.0,18791.0,309.0,126,LCK Global;Global Esports VALORANT;Rushindra Sinha
2025-08-01,2025-08-07,pulmuone,3.0,1699.0,9.0,2.0,7,IndieTrader (인디트레이더) HMS;LucyfursCookingAndReviews;my home
2025-08-01,2025-08-07,samyang,329.0,4862928.0,94415.0,3305.0,430,KeiKei;SAS-ASMR;Mukbang Bersama Bent
2025-08-01,2025-08-07,shin ramen,46.0,438152.0,6049.0,1031.0,292,wannabechefmatt;Modern Pepper;Paru Rai
2025-08-01,2025-08-07,shin ramyun,87.0,637082.0,12964.0,919.0,273,파돌이 (PaDol 먹방 ASMR);Sawmtea Tarker Baby;Only kekeㅋㅋㅋ
2025-08-08,2025-08-14,bibigo,26.0,577304.0,1179.0,30.0,37,"Gastronusa;Ms. Ming, Ph.D.;Michelle Park"
2025-08-08,2025-08-14,buldak,326.0,37781952.0,1250271.0,18181.0,331,Pushpek Sidhu;IamfromKorea;하이푸디 HiFoodie
2025-08-08,2025-08-14,chamisul,1.0,1589.0,40.0,3.0,3,MeTime
2025-08-08,2025-08-14,chum churum,3.0,161.0,7.0,6.0,3,Ale Degustation;Ale Degustacja;Chum Churum Official
2025-08-08,2025-08-14,jin ramen,43.0,120102.0,4657.0,94.0,201,NomBom;BLACKPINK News Facts;EIKEIKEAT
2025-08-08,2025-08-14,nongshim,77.0,2753784.0,21846.0,388.0,100,LCK Global;N.E Let's Eat;Kaza LoL LCS Highlights
2025-08-08,2025-08-14,pulmuone,0.0,0.0,0.0,0.0,4,
2025-08-08,2025-08-14,samyang,268.0,10193656.0,224779.0,4173.0,291,Jessica Effendy;tanboy kun;KeiKei
2025-08-08,2025-08-14,shin ramen,44.0,2016660.0,8562.0,284.0,230,irene kim 김예린;Delicious Miniature;CHAMLING
2025-08-08,2025-08-14,shin ramyun,77.0,303096.0,8127.0,255.0,226,N.E Let's Eat;Yiz;Yuri
2025-08-15,2025-08-21,bibigo,21.0,58039.0,2065.0,52.0,35,Choetina;NateVlog;三和交通チャンネル
2025-08-15,2025-08-21,buldak,493.0,12199931.0,290564.0,5708.0,506,흥삼이네 Heungsam's Family;문복희 Eat with Boki;떵개떵
2025-08-15,2025-08-21,chamisul,1.0,158.0,2.0,0.0,7,지식까마귀
2025-08-15,2025-08-21,chum churum,0.0,0.0,0.0,0.0,0,
2025-08-15,2025-08-21,jin ramen,48.0,125182.0,2244.0,51.0,246,DumDum;I'm Kazakh BTS ARMY ;Catching Seafood
2025-08-15,2025-08-21,nongshim,68.0,8272457.0,18725.0,285.0,123,LCK Global;VALORANT Champions Tour Pacific;Daily Valorant
2025-08-15,2025-08-21,pulmuone,4.0,16177.0,606.0,30.0,7,N.E Let's Eat;保健原料專門家-綠茵生技;Daily Fun Life
2025-08-15,2025-08-21,samyang,279.0,4955709.0,86785.0,2037.0,342,GAMERS BUCIN;Erika Kaa;Eat Sambel
2025-08-15,2025-08-21,shin ramen,46.0,932373.0,10643.0,302.0,294,MARIA OZAWA【Official】;vivivibes;dbest Taste
2025-08-15,2025-08-21,shin ramyun,89.0,1553711.0,36424.0,1455.0,294,Doobydobap;Mikasa;吃飯兄弟DiningBro
2025-08-22,2025-08-28,bibigo,26.0,23040.0,196.0,14.0,38,비비고 (bibigo);No Menu Cooking;제당슈만
2025-08-22,2025-08-28,buldak,485.0,17136181.0,443349.0,7278.0,505,Kim&Liz Too;Sydney Everhart;irene kim 김예린
2025-08-22,2025-08-28,chamisul,1.0,126.0,0.0,0.0,8,DIPAK Vlog 
2025-08-22,2025-08-28,chum churum,0.0,0.0,0.0,0.0,0,
2025-08-22,2025-08-28,jin ramen,29.0,71453.0,1101.0,44.0,220,BlakeBlake;Jenna Laine;AnnieNorthman89
2025-08-22,2025-08-28,nongshim,74.0,4108397.0,24705.0,920.0,119,SAS-ASMR;LCK Global;Caedrel
2025-08-22,2025-08-28,pulmuone,0.0,0.0,0.0,0.0,3,
2025-08-22,2025-08-28,samyang,313.0,8122394.0,110881.0,16497.0,380,KeiKei;TUKANG BEDAH | PESEN MENU TERMAHAL;Adi Dharma
2025-08-22,2025-08-28,shin ramen,60.0,2625354.0,5460.0,237.0,337,KULU Eats;Angie's Table;dbest Taste
2025-08-22,2025-08-28,shin ramyun,92.0,1419921.0,37665.0,1061.0,334,Khana Pakana Dill Seey;cheezballz;FOOD REVIEWS & MORE 
